cell_id,model_key,model_served,prompt_id,lang,gen,fk_tier,stance,n_tokens,n_sentences,translator,source_cell_id,mattr,hapax_rate,mean_token_len,zipf_slope,sent_len_mean,sent_len_sd,burstiness,dep_depth,subord_rate,func_word_ratio,first_person_rate,para_count,para_len_mean,question_rate,connective_rate,comma_per_1k,colon_per_1k,dash_per_1k,semicolon_per_1k,bigram_entropy,digit_rate
gemini|P01|es|0|google,gemini,google/gemini-3.5-flash,P01,es,0,general,for,427,17,google,gemini|P01|en|0,0.8216402116402117,0.4238875878220141,5.409836065573771,-0.5900340128790367,25.11764705882353,8.447502241352,-0.4966503997461544,5.411764705882353,1.2941176470588236,0.4426229508196721,0.0,5,85.4,0.0,60.88992974238876,56.20608899297424,0.0,0.0,0.0,7.307174664717091,0.8528784648187633
gemini|P01|zh|0|google,gemini,google/gemini-3.5-flash,P01,zh,0,general,for,364,16,google,gemini|P01|en|0,0.8840634920634921,0.489010989010989,1.7994505494505495,-0.4644471757162378,22.75,9.363047936792093,-0.4168695568716292,5.625,2.375,0.2829670329670329,0.0,5,72.8,0.0,120.87912087912088,85.16483516483517,0.0,5.494505494505495,0.0,9.143709050757488,2.849002849002849
gemini|P01|ru|0|google,gemini,google/gemini-3.5-flash,P01,ru,0,general,for,334,17,google,gemini|P01|en|0,0.9325614035087718,0.6317365269461078,7.035928143712575,-0.3543209078354941,19.647058823529413,8.061801725347971,-0.4181065864381354,5.882352941176471,1.2941176470588236,0.2425149700598802,0.0,5,66.8,0.0,77.8443113772455,92.81437125748504,0.0,8.982035928143713,0.0,7.992387104374851,0.8316008316008316
gemini|P01|tr|0|google,gemini,google/gemini-3.5-flash,P01,tr,0,general,for,350,17,google,gemini|P01|en|0,0.9139534883720928,0.5914285714285714,6.357142857142857,-0.4067615480244129,20.58823529411765,8.269362305593853,-0.4268849111904918,5.647058823529412,1.1764705882352942,0.1914285714285714,0.0,5,70.0,0.0,45.71428571428572,77.14285714285714,0.0,0.0,0.0,7.771753032237881,0.8806693086745927
gemini|P01|ja|0|google,gemini,google/gemini-3.5-flash,P01,ja,0,general,for,555,17,google,gemini|P01|en|0,0.7760474308300396,0.2882882882882883,1.736936936936937,-0.7421198185393606,32.64705882352941,14.066543536307115,-0.3977538521669969,6.647058823529412,4.0588235294117645,0.4684684684684684,0.0,5,111.0,0.0,37.83783783783784,70.27027027027027,0.0,0.0,0.0,9.113693554861364,4.887585532746823
gemini|P01|zh|1|google,gemini,google/gemini-3.5-flash,P01,zh,1,general,for,405,22,google,gemini|P01|en|1,0.8648876404494383,0.4962962962962963,1.7135802469135804,-0.50516559149048,18.40909090909091,7.055285697762797,-0.4458701419092367,5.090909090909091,2.136363636363636,0.2888888888888888,0.0,5,81.0,0.0,116.04938271604938,71.60493827160494,0.0,0.0,0.0,9.151007350652558,9.333333333333334
gemini|P01|es|1|google,gemini,google/gemini-3.5-flash,P01,es,1,general,for,456,21,google,gemini|P01|en|1,0.8196560196560198,0.4057017543859649,5.6118421052631575,-0.6177919182760726,21.714285714285715,7.919235172305828,-0.4655218188474463,5.190476190476191,0.9523809523809524,0.4407894736842105,0.0,5,91.2,0.0,43.85964912280702,57.01754385964912,0.0,0.0,2.192982456140351,7.37050886860571,2.686108979278588
gemini|P01|hi|0|google,gemini,google/gemini-3.5-flash,P01,hi,0,general,for,423,17,google,gemini|P01|en|0,0.8560962566844922,0.4160756501182033,4.543735224586288,-0.5525162652400707,24.88235294117647,11.185271302818142,-0.3797611272009117,5.882352941176471,0.8823529411764706,0.3664302600472813,0.0,5,84.6,0.0,73.28605200945627,59.1016548463357,0.0,7.092198581560283,0.0,7.985555769406396,1.015744032503809
gemini|P01|ja|1|google,gemini,google/gemini-3.5-flash,P01,ja,1,general,for,592,22,google,gemini|P01|en|1,0.7717863720073666,0.2989864864864865,1.795608108108108,-0.7307781800028373,26.90909090909091,10.188270991726997,-0.4507280049203514,6.454545454545454,3.0,0.4510135135135135,0.0,5,118.4,0.0,42.229729729729726,79.39189189189189,0.0,0.0,0.0,9.226915262728458,10.554089709762533
gemini|P01|ru|1|google,gemini,google/gemini-3.5-flash,P01,ru,1,general,for,349,21,google,gemini|P01|en|1,0.9266666666666666,0.6160458452722063,7.160458452722063,-0.3913822215468358,16.61904761904762,5.696281159460008,-0.4894736962203113,5.571428571428571,1.2857142857142858,0.2263610315186246,0.0,5,69.8,0.0,54.44126074498568,97.4212034383954,0.0,8.595988538681949,2.865329512893983,8.039398799742598,2.73224043715847
