lang,rank,classifier,n,accuracy,acc_ci_lo,acc_ci_hi,macro_f1,p_vs_chance
en,1,logreg,120,0.7166666666666667,0.6497916666666667,0.7916666666666666,0.711022263450835,4.064557076596817e-34
en,1,rf,120,0.675,0.5916666666666667,0.7583333333333333,0.6646727456940222,2.5776255132189104e-29
es,2,logreg,120,0.625,0.5416666666666666,0.7083333333333334,0.6247462621412201,4.349043991664003e-24
es,2,rf,120,0.675,0.6,0.7583333333333333,0.6664236493241817,2.5776255132189104e-29
hi,7,logreg,119,0.6386554621848739,0.5544117647058824,0.7226890756302521,0.6344444444444444,2.9220830879112894e-25
hi,7,rf,119,0.6218487394957983,0.5378151260504201,0.7060924369747897,0.6097659995261963,1.3621811266802068e-23
ja,5,logreg,120,0.7083333333333334,0.625,0.7916666666666666,0.7071746031746031,4.01271938065205e-33
ja,5,rf,120,0.7333333333333333,0.6583333333333333,0.8083333333333333,0.7332165949551968,3.691195264032442e-36
ru,4,logreg,120,0.65,0.5666666666666667,0.7333333333333333,0.6542387041773232,1.2456589306230946e-26
ru,4,rf,120,0.7166666666666667,0.6333333333333333,0.7916666666666666,0.7166572827095685,4.064557076596817e-34
tr,6,logreg,120,0.5916666666666667,0.5083333333333333,0.675,0.5962273274698004,6.554736603212872e-21
tr,6,rf,120,0.6,0.5083333333333333,0.6833333333333333,0.5914612198125392,1.1076453686246405e-21
zh,3,logreg,120,0.65,0.5583333333333333,0.725,0.643758384746968,1.2456589306230946e-26
zh,3,rf,120,0.65,0.5666666666666667,0.7333333333333333,0.6369281277728482,1.2456589306230946e-26
