lang,rank,classifier,n,accuracy,acc_ci_lo,acc_ci_hi,macro_f1,p_vs_chance
en,1,logreg,120,0.5666666666666667,0.48333333333333334,0.65,0.5623633150691429,1.1089428117358841e-18
en,1,rf,120,0.6583333333333333,0.575,0.7416666666666667,0.6412771620276018,1.646628901980031e-27
es,2,logreg,120,0.48333333333333334,0.3997916666666667,0.575,0.4856204629694784,3.4537312099363225e-12
es,2,rf,120,0.775,0.6916666666666667,0.8416666666666667,0.7728831674513776,1.3696931798287986e-41
hi,7,logreg,119,0.44537815126050423,0.35294117647058826,0.5378151260504201,0.44275194925333683,1.2407311068856982e-09
hi,7,rf,119,0.6638655462184874,0.5798319327731093,0.7394957983193278,0.6630237054789484,7.007573666080741e-28
ja,5,logreg,120,0.5,0.4164583333333334,0.5916666666666667,0.49512928354838304,2.2561553188247022e-13
ja,5,rf,120,0.75,0.675,0.825,0.7537351532007028,2.8340017361172493e-38
ru,4,logreg,120,0.4666666666666667,0.375,0.5583333333333333,0.4602256902761105,4.6406893299630565e-11
ru,4,rf,120,0.75,0.6666666666666666,0.825,0.7453966144597374,2.8340017361172493e-38
tr,6,logreg,120,0.45,0.36645833333333333,0.5416666666666666,0.44042223562832616,5.472525312550783e-10
tr,6,rf,120,0.7083333333333334,0.625,0.7833333333333333,0.6973117246898759,4.01271938065205e-33
zh,3,logreg,120,0.44166666666666665,0.35833333333333334,0.525,0.43559595959595965,1.789303711489014e-09
zh,3,rf,120,0.6833333333333333,0.6,0.7666666666666667,0.6743436669171361,3.0496183821595574e-30
