lang,feature,mean_abs_coef
en,mattr,0.5124837659510308
en,hapax_rate,0.46571993921286353
en,mean_token_len,0.5469528492537752
en,zipf_slope,0.5644826366916221
en,sent_len_mean,0.35510595879157164
en,sent_len_sd,0.24417114509734592
en,burstiness,0.3524799611757768
en,dep_depth,0.44266901644625145
en,subord_rate,0.6379183024037269
en,func_word_ratio,0.578084822454959
en,first_person_rate,0.27552023189390323
en,para_count,0.2731501517718428
en,para_len_mean,0.6455841198797954
en,question_rate,0.0
en,connective_rate,0.18802234121486458
en,comma_per_1k,0.43464141114264104
en,colon_per_1k,0.41445020565571156
en,dash_per_1k,0.30333635423409544
en,semicolon_per_1k,0.31584033009362034
en,bigram_entropy,0.20963694726191143
en,digit_rate,0.1989841827563753
es,mattr,0.5232721381841235
es,hapax_rate,0.29798280984020936
es,mean_token_len,0.27185664930610687
es,zipf_slope,0.33016270457200336
es,sent_len_mean,0.31772507104691233
es,sent_len_sd,0.2442918467602139
es,burstiness,0.1811028559584533
es,dep_depth,0.10916698991630129
es,subord_rate,0.5030676374268396
es,func_word_ratio,0.30449291267977513
es,first_person_rate,0.6831282390245296
es,para_count,0.5983965225808867
es,para_len_mean,0.600689971276018
es,question_rate,0.0763016969638879
es,connective_rate,0.331698099003145
es,comma_per_1k,0.7482495196738489
es,colon_per_1k,0.9729171500139074
es,dash_per_1k,0.3654758193732504
es,semicolon_per_1k,0.38417926520545614
es,bigram_entropy,0.3576904544817339
es,digit_rate,0.4117506595310454
hi,mattr,0.1192167610661135
hi,hapax_rate,0.36215984063457624
hi,mean_token_len,0.41390391655050546
hi,zipf_slope,0.5822171817335114
hi,sent_len_mean,0.38107182100296483
hi,sent_len_sd,0.25483423862228766
hi,burstiness,0.19022745382973813
hi,dep_depth,0.2938061724760287
hi,subord_rate,0.44715072829501357
hi,func_word_ratio,0.3910703545749998
hi,first_person_rate,0.44105278235173423
hi,para_count,0.5963435785231993
hi,para_len_mean,0.34210111873261756
hi,question_rate,0.11055973642682698
hi,connective_rate,0.49015968473293453
hi,comma_per_1k,0.709865178386301
hi,colon_per_1k,0.29379920101725693
hi,dash_per_1k,0.5000682390974842
hi,semicolon_per_1k,0.36112975860747
hi,bigram_entropy,0.6531711522806349
hi,digit_rate,0.5103235025795317
ja,mattr,0.2871663892984952
ja,hapax_rate,0.3245071802465739
ja,mean_token_len,0.22670296068752252
ja,zipf_slope,0.5972564027776852
ja,sent_len_mean,0.3171276420552976
ja,sent_len_sd,0.30743156422393964
ja,burstiness,0.18597046808370288
ja,dep_depth,0.17986620463248393
ja,subord_rate,0.3060781681719528
ja,func_word_ratio,0.4427734763357199
ja,first_person_rate,0.45591189080128763
ja,para_count,0.8568642690736473
ja,para_len_mean,0.6605136930401626
ja,question_rate,0.0
ja,connective_rate,0.42385015022358036
ja,comma_per_1k,0.7494594103421027
ja,colon_per_1k,0.13575448278041974
ja,dash_per_1k,0.0
ja,semicolon_per_1k,0.0
ja,bigram_entropy,0.9005852468078936
ja,digit_rate,0.19242871670137998
ru,mattr,0.28961267018835174
ru,hapax_rate,0.39924038995530503
ru,mean_token_len,0.35643183564431363
ru,zipf_slope,0.4211000746108579
ru,sent_len_mean,0.3247003546793686
ru,sent_len_sd,0.20442374584712844
ru,burstiness,0.12740212604121373
ru,dep_depth,0.23122308097207936
ru,subord_rate,0.41232758084104826
ru,func_word_ratio,0.3581467378182803
ru,first_person_rate,0.33132806789504804
ru,para_count,0.8210264674078843
ru,para_len_mean,0.5561167214425756
ru,question_rate,0.290282113180717
ru,connective_rate,0.29848116104665295
ru,comma_per_1k,0.8107738749876763
ru,colon_per_1k,0.6567597896366905
ru,dash_per_1k,0.48311865364593326
ru,semicolon_per_1k,0.3735144160947068
ru,bigram_entropy,0.4436201075822544
ru,digit_rate,0.4017031013824304
tr,mattr,0.48333285250479646
tr,hapax_rate,0.4031861697194064
tr,mean_token_len,0.2900057103759618
tr,zipf_slope,0.1330712187405901
tr,sent_len_mean,0.4588850018357045
tr,sent_len_sd,0.194857808638046
tr,burstiness,0.41834584880218556
tr,dep_depth,0.4685481434257617
tr,subord_rate,0.3927834490684498
tr,func_word_ratio,0.3823878786844324
tr,first_person_rate,0.23251390315931308
tr,para_count,0.6330616458046376
tr,para_len_mean,0.6829135286653324
tr,question_rate,0.19399078944264725
tr,connective_rate,0.61539452289686
tr,comma_per_1k,0.1417062397525496
tr,colon_per_1k,0.22084236924105025
tr,dash_per_1k,0.2195072151075148
tr,semicolon_per_1k,0.27116055018446816
tr,bigram_entropy,0.4728738690744947
tr,digit_rate,0.4700174891122109
zh,mattr,0.7494851571771531
zh,hapax_rate,0.43076333145296064
zh,mean_token_len,0.40160148892271147
zh,zipf_slope,0.5025542726579418
zh,sent_len_mean,0.3328931894104476
zh,sent_len_sd,0.21278984520974734
zh,burstiness,0.1319538257999792
zh,dep_depth,0.24014106190270548
zh,subord_rate,0.15659560787126503
zh,func_word_ratio,0.34935314168540016
zh,first_person_rate,0.3295305516768518
zh,para_count,0.5911641661895879
zh,para_len_mean,0.29700475984067304
zh,question_rate,0.10519262575811661
zh,connective_rate,0.41851179352444695
zh,comma_per_1k,0.707849885620961
zh,colon_per_1k,0.26945976896305296
zh,dash_per_1k,0.3735188677965237
zh,semicolon_per_1k,0.5119008891447994
zh,bigram_entropy,0.9954446653508411
zh,digit_rate,0.24917345452079584
