lang,feature,mean_abs_coef
en,mattr,0.6840787971060255
en,hapax_rate,0.22266994010481325
en,mean_token_len,0.46191464868502535
en,zipf_slope,0.42043429758760725
en,sent_len_mean,0.41699781504444994
en,sent_len_sd,0.28210766623612776
en,burstiness,0.31074897803673796
en,dep_depth,0.4600831166272734
en,subord_rate,0.443744949108892
en,func_word_ratio,0.6129641264635403
en,first_person_rate,0.46667172457961015
en,para_count,0.4006002515872571
en,para_len_mean,0.30977475041237423
en,question_rate,0.0
en,connective_rate,0.23931326812817658
en,comma_per_1k,0.36344080872126466
en,colon_per_1k,0.4442263594194014
en,dash_per_1k,0.4283299686163484
en,semicolon_per_1k,0.18627938095826072
en,bigram_entropy,0.308548975675408
en,digit_rate,0.2886680003216815
es,mattr,0.50227102929996
es,hapax_rate,0.23707539681221299
es,mean_token_len,0.3336577084917285
es,zipf_slope,0.2828094466777363
es,sent_len_mean,0.4135396233126894
es,sent_len_sd,0.30441949272564023
es,burstiness,0.185552595624463
es,dep_depth,0.22444388353222255
es,subord_rate,0.4456596984245141
es,func_word_ratio,0.2763009219444047
es,first_person_rate,0.8263050701429985
es,para_count,0.5332073543636112
es,para_len_mean,0.5718289761451585
es,question_rate,0.14019441596907847
es,connective_rate,0.2914836322517236
es,comma_per_1k,0.5695078030765705
es,colon_per_1k,0.7466436935687993
es,dash_per_1k,0.4066515171924727
es,semicolon_per_1k,0.3566191689050888
es,bigram_entropy,0.26784534566716406
es,digit_rate,0.4181970157523937
hi,mattr,0.15288351357866306
hi,hapax_rate,0.22361822611899132
hi,mean_token_len,0.4817081786844493
hi,zipf_slope,0.35984720755342975
hi,sent_len_mean,0.4385487455405211
hi,sent_len_sd,0.15687039279556678
hi,burstiness,0.14523995036045137
hi,dep_depth,0.24503896121526805
hi,subord_rate,0.4054651606013407
hi,func_word_ratio,0.34266917984016837
hi,first_person_rate,0.42500545124190264
hi,para_count,0.3642180799363113
hi,para_len_mean,0.352839643509328
hi,question_rate,0.2634991271466615
hi,connective_rate,0.39080952924665513
hi,comma_per_1k,0.5940025767172225
hi,colon_per_1k,0.31694200085800855
hi,dash_per_1k,0.3701405242232551
hi,semicolon_per_1k,0.4747046051842117
hi,bigram_entropy,0.7094832647605681
hi,digit_rate,0.2730974854283592
ja,mattr,0.32462426651485826
ja,hapax_rate,0.258711444929669
ja,mean_token_len,0.2469371624971596
ja,zipf_slope,0.42998696392861085
ja,sent_len_mean,0.4387681044231225
ja,sent_len_sd,0.43383785885078635
ja,burstiness,0.16002296404076397
ja,dep_depth,0.13971952238415183
ja,subord_rate,0.350053051177567
ja,func_word_ratio,0.41564902653271707
ja,first_person_rate,0.3871814095999038
ja,para_count,0.8159404113741516
ja,para_len_mean,0.3886892299859073
ja,question_rate,0.0
ja,connective_rate,0.19906034460309308
ja,comma_per_1k,1.0876115288164103
ja,colon_per_1k,0.2863462897219255
ja,dash_per_1k,0.0
ja,semicolon_per_1k,0.0
ja,bigram_entropy,0.31799055212751864
ja,digit_rate,0.18235532903178878
ru,mattr,0.3371078287578558
ru,hapax_rate,0.2705320910595846
ru,mean_token_len,0.468526207222662
ru,zipf_slope,0.2058344914047191
ru,sent_len_mean,0.4522245326794862
ru,sent_len_sd,0.31223149425968044
ru,burstiness,0.1691366411519275
ru,dep_depth,0.34802520873223103
ru,subord_rate,0.4182622435100023
ru,func_word_ratio,0.6014971272374913
ru,first_person_rate,0.3711201211979749
ru,para_count,0.4942012524370927
ru,para_len_mean,0.7930867129980491
ru,question_rate,0.29420577114147717
ru,connective_rate,0.3298739813848688
ru,comma_per_1k,0.5701899301700438
ru,colon_per_1k,0.5134716743789031
ru,dash_per_1k,0.5012331500155875
ru,semicolon_per_1k,0.32285576251256787
ru,bigram_entropy,0.45887707779032677
ru,digit_rate,0.5098552054004526
tr,mattr,0.5587866657553604
tr,hapax_rate,0.2760766976328977
tr,mean_token_len,0.31164735889604134
tr,zipf_slope,0.22242289066436546
tr,sent_len_mean,0.5571924363070814
tr,sent_len_sd,0.13245859522896195
tr,burstiness,0.4407187860187581
tr,dep_depth,0.3552747971308064
tr,subord_rate,0.4845013815110562
tr,func_word_ratio,0.34722378581033514
tr,first_person_rate,0.20860774605924062
tr,para_count,0.48551679295934497
tr,para_len_mean,0.74186313267718
tr,question_rate,0.1830393041737058
tr,connective_rate,0.5604243487878439
tr,comma_per_1k,0.22869276355666388
tr,colon_per_1k,0.33485481599491007
tr,dash_per_1k,0.3252336182856111
tr,semicolon_per_1k,0.28589764831057257
tr,bigram_entropy,0.4618156928151584
tr,digit_rate,0.43437852593695747
zh,mattr,0.8668434745202332
zh,hapax_rate,0.46209487120522263
zh,mean_token_len,0.4001196158613065
zh,zipf_slope,0.18597853146204713
zh,sent_len_mean,0.3099888484591797
zh,sent_len_sd,0.21826768435479985
zh,burstiness,0.20250274985933617
zh,dep_depth,0.2389064199343153
zh,subord_rate,0.15484657313520217
zh,func_word_ratio,0.35464508636463726
zh,first_person_rate,0.2827044929522154
zh,para_count,0.39169396881691093
zh,para_len_mean,0.5064013231184246
zh,question_rate,0.5114079271114339
zh,connective_rate,0.5973141476714571
zh,comma_per_1k,0.6893862095414675
zh,colon_per_1k,0.20783642947056535
zh,dash_per_1k,0.5435214024874385
zh,semicolon_per_1k,0.4166207330938487
zh,bigram_entropy,0.23368780775124834
zh,digit_rate,0.2300029980863619
