feature,eta2_model,eta2_lang,eta2_interaction,eta2_prompt,p_model,p_lang,p_interaction
mattr,0.0978288028791396,0.8766523934138274,0.17756287381295785,0.14965009919727038,7.444508567396682e-17,0.0,1.552181364461439e-21
hapax_rate,0.37583577030593307,0.926523999355245,0.17273203534197096,0.2574810195865875,1.0283720477277143e-79,0.0,1.174298336391785e-20
mean_token_len,0.11181676532445572,0.9902132628399558,0.20600010575644626,0.4202325122453567,1.7286474214456315e-19,0.0,6.774719058951886e-27
zipf_slope,0.37178433985635195,0.9329969718322975,0.17355070478374815,0.22280040719303787,1.323101346361507e-78,0.0,8.34657057713053e-21
sent_len_mean,0.0489422502788543,0.6012181415058799,0.1103911471542346,0.15147758051309465,4.664239243080103e-08,1.411992269933714e-154,3.071213086222042e-10
sent_len_sd,0.11567556006727274,0.39234561388687167,0.051606587074387526,0.1744367823027793,3.179525699296515e-20,2.038514729772302e-82,0.011055409679920334
burstiness,0.15216666143796378,0.07122430811451667,0.07008451814291296,0.07830782688723543,2.3057441738045826e-27,8.111719576130332e-11,0.00010663056553785385
dep_depth,0.03033043766727609,0.4055930694037614,0.17809283355813904,0.08292905596345981,6.473421628840229e-05,3.4863509237239136e-86,1.2415361723360892e-21
subord_rate,0.013502225576913756,0.770448455714477,0.11705308921966819,0.1591246791152507,0.028982084917285548,1.8275970030600922e-249,2.92033596619496e-11
func_word_ratio,0.10671111341158604,0.9366606128338739,0.14674032455698838,0.26274428909360215,1.6028703720095213e-18,0.0,4.2819026923241917e-16
first_person_rate,0.07836807239044924,0.030652541548943906,0.0568132456168728,0.12557835566669684,2.839174210309328e-13,0.00037984974241103426,0.0033293285263546143
para_count,0.2941602378252977,0.11903802330225874,0.06149515895234922,0.09957006738309922,1.209236849135751e-58,1.744976368376659e-19,0.0010475739550642102
para_len_mean,0.08394528332706551,0.21605727844003816,0.03755147487900779,0.09037800326319635,2.7348686507284245e-14,4.566031881466922e-39,0.16051442894894274
question_rate,0.013887675231624503,0.073414059728642,0.034314248062764556,0.10689489650160648,0.02541893463363175,3.373152585739562e-11,0.25705827849760227
connective_rate,0.11225741003386216,0.7963175003309709,0.16084598114988266,0.19274245394065778,1.4253617682968057e-19,5.0305486907514195e-270,1.5540505746292894e-18
comma_per_1k,0.32284804101233466,0.6189981318024601,0.17710261827031815,0.19850859409093338,9.498937732311053e-66,2.094384033133022e-162,1.8839885086883323e-21
colon_per_1k,0.21282860321854538,0.4628283933417627,0.27993155320246493,0.02763639088631891,5.282856397081392e-40,1.6669995740217097e-103,2.8134028899339936e-42
dash_per_1k,0.09067162857175629,0.49844795571915096,0.08631527035998104,0.06691944175969786,1.58636720572296e-15,2.9612137473731946e-115,8.874245988794585e-07
semicolon_per_1k,0.03979442299793894,0.5644842988236105,0.04911274667378664,0.078635755702013,1.706741262728713e-06,1.8566858367031805e-139,0.018955853919296124
bigram_entropy,0.30579296709316417,0.9740881704342259,0.3059204268310295,0.1198476571479388,1.7283433200573195e-61,0.0,3.463931682296097e-48
digit_rate,0.05717244438954812,0.06978437515945783,0.020019595062083156,0.27711417162800017,1.7241357473580003e-09,1.4413371481841993e-10,0.8785361370478114
MEAN,0.14458670061415876,0.539427978930106,0.12729697802199974,0.15919095428894445,,,
