translator,lang,rank,n,acc_translated_lopo,ci_lo,ci_hi,acc_english_originals,acc_native_same_lang,acc_train_native_test_translated,acc_train_english_test_translated,p_vs_chance
google,es,2,120,0.6083333333333333,0.5166666666666667,0.6916666666666667,0.7166666666666667,0.625,0.5833333333333334,0.7166666666666667,1.808833182954002e-22
google,zh,3,120,0.5666666666666667,0.475,0.65,0.7166666666666667,0.65,0.4666666666666667,0.6333333333333333,1.1089428117358841e-18
google,ru,4,120,0.6583333333333333,0.5747916666666666,0.7416666666666667,0.7166666666666667,0.65,0.5416666666666666,0.7166666666666667,1.646628901980031e-27
google,ja,5,120,0.6583333333333333,0.575,0.7416666666666667,0.7166666666666667,0.7083333333333334,0.525,0.575,1.646628901980031e-27
google,tr,6,120,0.6083333333333333,0.5166666666666667,0.6916666666666667,0.7166666666666667,0.5916666666666667,0.4666666666666667,0.65,1.808833182954002e-22
google,hi,7,120,0.65,0.5666666666666667,0.725,0.7166666666666667,0.6386554621848739,0.5416666666666666,0.6916666666666667,1.2456589306230946e-26
llm,es,2,120,0.6,0.5164583333333334,0.6833333333333333,0.7166666666666667,0.625,0.6166666666666667,0.75,1.1076453686246405e-21
llm,zh,3,120,0.6666666666666666,0.5833333333333334,0.75,0.7166666666666667,0.65,0.48333333333333334,0.625,2.0986201280743113e-28
llm,ru,4,120,0.6083333333333333,0.5164583333333334,0.7,0.7166666666666667,0.65,0.5083333333333333,0.6583333333333333,1.808833182954002e-22
llm,ja,5,120,0.6083333333333333,0.5166666666666667,0.6916666666666667,0.7166666666666667,0.7083333333333334,0.55,0.5083333333333333,1.808833182954002e-22
llm,tr,6,120,0.5916666666666667,0.5,0.675,0.7166666666666667,0.5916666666666667,0.44166666666666665,0.65,6.554736603212872e-21
llm,hi,7,120,0.7,0.6166666666666667,0.7833333333333333,0.7166666666666667,0.6386554621848739,0.5833333333333334,0.7666666666666667,3.807187629224664e-32
