judge,lang,rank,n,accuracy,ci_lo,ci_hi,p_vs_chance,own_recall,n_own,false_self_rate,self_claim_rate,unparsed_rate
claude,en,1,120,0.26666666666666666,0.19008907278209272,0.35511401250701896,0.04702534789151597,0.25,24,0.03125,0.075,0.0
claude,es,2,120,0.19166666666666668,0.12555172485646413,0.2735823827373198,0.6261552686248583,0.0,24,0.020833333333333332,0.016666666666666666,0.0
claude,zh,3,120,0.23333333333333334,0.1609916880964628,0.31927748928006033,0.209788777841361,0.08333333333333333,24,0.052083333333333336,0.058333333333333334,0.0
claude,ru,4,120,0.24166666666666667,0.16820856019806116,0.32829232087301474,0.15229687313125545,0.0,24,0.010416666666666666,0.008333333333333333,0.0
claude,ja,5,120,0.225,0.15381546444741603,0.310223377563974,0.27902634050299413,0.375,24,0.15625,0.2,0.0
claude,tr,6,120,0.25833333333333336,0.1827585301696587,0.34620940471126116,0.07212209912029471,0.08333333333333333,24,0.0625,0.06666666666666667,0.0
claude,hi,7,119,0.36134453781512604,0.27530566394995964,0.45446294142292887,3.2096155726306307e-05,0.4166666666666667,24,0.12631578947368421,0.18487394957983194,0.0
deepseek,en,1,120,0.21666666666666667,0.1466814942921021,0.3011285130656695,0.358575880582317,0.0,24,0.010416666666666666,0.008333333333333333,0.0
deepseek,es,2,120,0.21666666666666667,0.1466814942921021,0.3011285130656695,0.358575880582317,0.0,24,0.0,0.0,0.0
deepseek,zh,3,120,0.16666666666666666,0.10487850197666278,0.24560003807731856,0.8482864875366571,0.125,24,0.2916666666666667,0.25833333333333336,0.0
deepseek,ru,4,120,0.225,0.15381546444741603,0.310223377563974,0.27902634050299413,0.08333333333333333,24,0.0625,0.06666666666666667,0.0
deepseek,ja,5,120,0.19166666666666668,0.12555172485646413,0.2735823827373198,0.6261552686248583,0.125,24,0.08333333333333333,0.09166666666666666,0.0
deepseek,tr,6,120,0.175,0.11171434309374659,0.25498002756572835,0.7853555519933482,0.041666666666666664,24,0.052083333333333336,0.05,0.0
deepseek,hi,7,119,0.226890756302521,0.1551595410043871,0.31268110602235827,0.26344788890412646,0.08333333333333333,24,0.07368421052631578,0.07563025210084033,0.0
gemini,en,1,120,0.23333333333333334,0.1609916880964628,0.31927748928006033,0.209788777841361,0.08333333333333333,24,0.09375,0.09166666666666666,0.0
gemini,es,2,120,0.21666666666666667,0.1466814942921021,0.3011285130656695,0.358575880582317,0.041666666666666664,24,0.020833333333333332,0.025,0.0
gemini,zh,3,120,0.2,0.13254756754471875,0.28280989089794006,0.5363760806894311,0.0,24,0.010416666666666666,0.008333333333333333,0.0
gemini,ru,4,120,0.25833333333333336,0.1827585301696587,0.34620940471126116,0.07212209912029471,0.0,24,0.03125,0.025,0.0
gemini,ja,5,120,0.175,0.11171434309374659,0.25498002756572835,0.7853555519933482,0.0,24,0.0,0.0,0.0
gemini,tr,6,120,0.19166666666666668,0.12555172485646413,0.2735823827373198,0.6261552686248583,0.0,24,0.020833333333333332,0.016666666666666666,0.008333333333333333
gemini,hi,7,119,0.21008403361344538,0.14080862010272338,0.294310211090819,0.4275188153177313,0.08333333333333333,24,0.12631578947368421,0.11764705882352941,0.0
gpt,en,1,120,0.23333333333333334,0.1609916880964628,0.31927748928006033,0.209788777841361,0.5833333333333334,24,0.71875,0.6916666666666667,0.0
gpt,es,2,120,0.19166666666666668,0.12555172485646413,0.2735823827373198,0.6261552686248583,0.875,24,0.875,0.875,0.0
gpt,zh,3,120,0.21666666666666667,0.1466814942921021,0.3011285130656695,0.358575880582317,0.875,24,0.78125,0.8,0.0
gpt,ru,4,120,0.20833333333333334,0.13959154480841604,0.29199127812056597,0.4456616928796799,0.875,24,0.8229166666666666,0.8333333333333334,0.0
gpt,ja,5,120,0.2,0.13254756754471875,0.28280989089794006,0.5363760806894311,0.7083333333333334,24,0.7291666666666666,0.725,0.0
gpt,tr,6,120,0.2,0.13254756754471875,0.28280989089794006,0.5363760806894311,0.875,24,0.90625,0.9,0.0
gpt,hi,7,119,0.19327731092436976,0.12664393116594952,0.2757604448125417,0.6089475909372348,0.9583333333333334,24,0.9368421052631579,0.9411764705882353,0.0
grok,en,1,120,0.2,0.13254756754471875,0.28280989089794006,0.5363760806894311,0.0,24,0.010416666666666666,0.008333333333333333,0.0
grok,es,2,120,0.21666666666666667,0.1466814942921021,0.3011285130656695,0.358575880582317,0.0,24,0.0,0.0,0.0
grok,zh,3,120,0.225,0.15381546444741603,0.310223377563974,0.27902634050299413,0.0,24,0.0,0.0,0.0
grok,ru,4,120,0.25,0.17546461903005667,0.33726921629199613,0.10669984525772333,0.0,24,0.0,0.0,0.0
grok,ja,5,120,0.2,0.13254756754471875,0.28280989089794006,0.5363760806894311,0.0,24,0.0,0.0,0.0
grok,tr,6,120,0.2,0.13254756754471875,0.28280989089794006,0.5363760806894311,0.0,24,0.0,0.0,0.0
grok,hi,7,119,0.24369747899159663,0.16968165520673645,0.33088687258730126,0.14127759139515123,0.0,23,0.0,0.0,0.0
