lang,rank,k,accuracy,macro_f1
en,1,1,0.3416666666666667,0.3228218767758445
en,1,2,0.4,0.39196421524331415
en,1,3,0.5666666666666667,0.5599358565331333
en,1,4,0.6,0.5907111004937091
en,1,5,0.6666666666666666,0.6523467192570804
en,1,6,0.6416666666666667,0.6351506109690253
en,1,7,0.6416666666666667,0.6289256809106621
en,1,8,0.65,0.6345475946476151
en,1,9,0.675,0.6677179962894249
en,1,10,0.7083333333333334,0.7098878248974009
en,1,11,0.725,0.7209841269841271
en,1,12,0.7333333333333333,0.727049376504684
en,1,13,0.75,0.7416879631995912
en,1,14,0.7333333333333333,0.7234039769754055
en,1,15,0.725,0.7185792200759945
en,1,16,0.7333333333333333,0.7254594800276902
en,1,17,0.75,0.7435526675786595
en,1,18,0.7333333333333333,0.7259510539159135
en,1,19,0.7333333333333333,0.7278140656649508
en,1,20,0.7166666666666667,0.711022263450835
en,1,21,0.7166666666666667,0.711022263450835
es,2,1,0.31666666666666665,0.29528325205656036
es,2,2,0.475,0.46716690716690723
es,2,3,0.575,0.5633688006833353
es,2,4,0.6166666666666667,0.6097093382807668
es,2,5,0.6416666666666667,0.6347708210259078
es,2,6,0.6833333333333333,0.6764395254509921
es,2,7,0.625,0.618017316017316
es,2,8,0.6,0.5930534442740134
es,2,9,0.6083333333333333,0.6086268820874577
es,2,10,0.6083333333333333,0.6070704322432026
es,2,11,0.5916666666666667,0.594494910020746
es,2,12,0.6166666666666667,0.6158056981657911
es,2,13,0.6416666666666667,0.6366280072312613
es,2,14,0.6333333333333333,0.6224882980263475
es,2,15,0.65,0.6419591275021027
es,2,16,0.65,0.6508429458740017
es,2,17,0.6416666666666667,0.6363008636078545
es,2,18,0.65,0.6482248033348399
es,2,19,0.6333333333333333,0.6322943877744521
es,2,20,0.625,0.6235089643515458
es,2,21,0.625,0.6247462621412201
hi,7,1,0.3697478991596639,0.321776531316005
hi,7,2,0.42857142857142855,0.4108043217286914
hi,7,3,0.4789915966386555,0.46544568130282415
hi,7,4,0.5042016806722689,0.48868239603533725
hi,7,5,0.5210084033613446,0.49647898147617137
hi,7,6,0.5714285714285714,0.5474136824541136
hi,7,7,0.5546218487394958,0.5309929078014184
hi,7,8,0.5798319327731093,0.5664397161285855
hi,7,9,0.5882352941176471,0.5774267129516335
hi,7,10,0.5630252100840336,0.5417786947543867
hi,7,11,0.5714285714285714,0.5603538643052322
hi,7,12,0.6554621848739496,0.6449865283136837
hi,7,13,0.6470588235294118,0.6398587888396328
hi,7,14,0.6386554621848739,0.6342459111304096
hi,7,15,0.6302521008403361,0.6270872397062434
hi,7,16,0.6050420168067226,0.5987358769594795
hi,7,17,0.6050420168067226,0.597030303030303
hi,7,18,0.6302521008403361,0.6232806324110671
hi,7,19,0.6386554621848739,0.6313958785095066
hi,7,20,0.6470588235294118,0.6444614947428247
hi,7,21,0.6386554621848739,0.6344444444444444
ja,5,1,0.4083333333333333,0.3606852335528806
ja,5,2,0.5083333333333333,0.49816472251679045
ja,5,3,0.6333333333333333,0.6257947352854185
ja,5,4,0.675,0.6665671929149017
ja,5,5,0.7416666666666667,0.7461651469098277
ja,5,6,0.7166666666666667,0.7216620887592209
ja,5,7,0.7833333333333333,0.7865628407391325
ja,5,8,0.7333333333333333,0.7406204483434062
ja,5,9,0.725,0.7270192217411457
ja,5,10,0.7166666666666667,0.7208814229249012
ja,5,11,0.7083333333333334,0.7110435663627153
ja,5,12,0.725,0.7259025356388908
ja,5,13,0.7333333333333333,0.7323529411764707
ja,5,14,0.7166666666666667,0.7174699667100882
ja,5,15,0.675,0.674945722970039
ja,5,16,0.7,0.6985763760049475
ja,5,17,0.6916666666666667,0.6906780045351473
ja,5,18,0.7083333333333334,0.7071746031746031
ja,5,19,0.7083333333333334,0.7071746031746031
ja,5,20,0.7083333333333334,0.7071746031746031
ja,5,21,0.7083333333333334,0.7071746031746031
ru,4,1,0.3416666666666667,0.3054872396043873
ru,4,2,0.5166666666666667,0.5092051267300437
ru,4,3,0.625,0.6241292920498449
ru,4,4,0.675,0.6765347985347986
ru,4,5,0.6833333333333333,0.680306905370844
ru,4,6,0.6333333333333333,0.6335726063475036
ru,4,7,0.6166666666666667,0.61963449712089
ru,4,8,0.6416666666666667,0.6445275200989486
ru,4,9,0.6333333333333333,0.6316231884057971
