lang,rank,condition,group,macro_f1,accuracy,delta_f1_vs_all
en,1,all,all,0.711022263450835,0.7166666666666667,
en,1,only,lexical,0.5441295546558704,0.5666666666666667,
en,1,without,lexical,0.6301050448280476,0.625,-0.08091721862278733
en,1,only,syntactic,0.531317655841732,0.525,
en,1,without,syntactic,0.6487555022008804,0.6583333333333333,-0.06226676124995456
en,1,only,structure,0.4063593455847676,0.425,
en,1,without,structure,0.7066528391096837,0.7083333333333334,-0.0043694243411512845
en,1,only,punctuation,0.44569747565096396,0.45,
en,1,without,punctuation,0.7096643264589733,0.7166666666666667,-0.001357936991861708
en,1,only,character,0.2072792455771179,0.25,
en,1,without,character,0.7443673469387755,0.75,0.03334508348794052
es,2,all,all,0.6247462621412201,0.625,
es,2,only,lexical,0.35953721075672296,0.375,
es,2,without,lexical,0.5993138124815143,0.6,-0.025432449659705814
es,2,only,syntactic,0.47246028767979986,0.48333333333333334,
es,2,without,syntactic,0.5975316972302335,0.6,-0.027214564910986616
es,2,only,structure,0.4491240963442629,0.45,
es,2,without,structure,0.5692600472813238,0.5666666666666667,-0.05548621485989624
es,2,only,punctuation,0.48814534999284576,0.49166666666666664,
es,2,without,punctuation,0.5986239950525665,0.6,-0.026122267088653617
es,2,only,character,0.3345349847255976,0.35833333333333334,
es,2,without,character,0.6272364066193854,0.625,0.0024901444781653126
hi,7,all,all,0.6344444444444444,0.6386554621848739,
hi,7,only,lexical,0.33245382934579826,0.35294117647058826,
hi,7,without,lexical,0.5579470879325511,0.5630252100840336,-0.07649735651189327
hi,7,only,syntactic,0.37050975264247576,0.37815126050420167,
hi,7,without,syntactic,0.5470484270060092,0.5630252100840336,-0.08739601743843517
hi,7,only,structure,0.42193961861474155,0.4369747899159664,
hi,7,without,structure,0.6094979719632818,0.6134453781512605,-0.02494647248116255
hi,7,only,punctuation,0.37430054476307945,0.3949579831932773,
hi,7,without,punctuation,0.5244231289353686,0.5210084033613446,-0.11002131550907579
hi,7,only,character,0.285296003664262,0.31932773109243695,
hi,7,without,character,0.618592446201142,0.6218487394957983,-0.015851998243302412
ja,5,all,all,0.7071746031746031,0.7083333333333334,
ja,5,only,lexical,0.3687837704106878,0.375,
ja,5,without,lexical,0.689918775280695,0.6916666666666667,-0.017255827893908116
ja,5,only,syntactic,0.37385607002100507,0.38333333333333336,
ja,5,without,syntactic,0.7276339440342721,0.725,0.02045934085966894
ja,5,only,structure,0.5202685363146639,0.5333333333333333,
ja,5,without,structure,0.6561764705882352,0.6583333333333333,-0.05099813258636787
ja,5,only,punctuation,0.35833076746120224,0.4083333333333333,
ja,5,without,punctuation,0.624233349153615,0.625,-0.08294125402098818
ja,5,only,character,0.41387945720314834,0.44166666666666665,
ja,5,without,character,0.6769645864465476,0.675,-0.030210016728055566
ru,4,all,all,0.6542387041773232,0.65,
ru,4,only,lexical,0.35453461365753725,0.36666666666666664,
ru,4,without,lexical,0.6448853754940711,0.6416666666666667,-0.009353328683252116
ru,4,only,syntactic,0.23690759554910504,0.25,
ru,4,without,syntactic,0.6316777377617715,0.625,-0.02256096641555172
ru,4,only,structure,0.60758680623186,0.6166666666666667,
ru,4,without,structure,0.5815891903066088,0.5833333333333334,-0.07264951387071439
ru,4,only,punctuation,0.53232813308285,0.5333333333333333,
ru,4,without,punctuation,0.5570718122242335,0.55,-0.0971668919530897
ru,4,only,character,0.3236478839035679,0.35833333333333334,
ru,4,without,character,0.6596051464063887,0.6583333333333333,0.00536644222906546
tr,6,all,all,0.5962273274698004,0.5916666666666667,
tr,6,only,lexical,0.3537827371385713,0.38333333333333336,
tr,6,without,lexical,0.5876359338061465,0.5833333333333334,-0.008591393663653912
tr,6,only,syntactic,0.4606796564779758,0.475,
tr,6,without,syntactic,0.4904952687170693,0.49166666666666664,-0.10573205875273117
tr,6,only,structure,0.5584299571396346,0.6,
tr,6,without,structure,0.5381574099659205,0.5416666666666666,-0.05806991750387991
tr,6,only,punctuation,0.261640656262505,0.2833333333333333,
tr,6,without,punctuation,0.5898385505072434,0.5833333333333334,-0.006388776962557019
tr,6,only,character,0.3483213325463965,0.38333333333333336,
tr,6,without,character,0.5343798872522277,0.5333333333333333,-0.06184744021757271
zh,3,all,all,0.643758384746968,0.65,
zh,3,only,lexical,0.5469854933843455,0.5666666666666667,
zh,3,without,lexical,0.5935175053472925,0.6,-0.050240879399675475
zh,3,only,syntactic,0.2765106522760908,0.2833333333333333,
zh,3,without,syntactic,0.6360850743459439,0.6416666666666667,-0.007673310401024147
zh,3,only,structure,0.3113753544561122,0.3416666666666667,
zh,3,without,structure,0.6461386918833727,0.65,0.0023803071364046913
zh,3,only,punctuation,0.41583219635046875,0.4166666666666667,
zh,3,without,punctuation,0.685549442965592,0.6833333333333333,0.041791058218623944
zh,3,only,character,0.46038281364368316,0.4666666666666667,
zh,3,without,character,0.6262857142857142,0.6333333333333333,-0.01747267046125378
