baseline,lang,rank,n,accuracy,acc_ci_lo,acc_ci_hi,macro_f1,p_vs_chance
char_ngram,en,1,120,0.75,0.6747916666666667,0.825,0.681364984871221,2.8340017361172493e-38
char_ngram,es,2,120,0.7333333333333333,0.6583333333333333,0.8083333333333333,0.7218704163446568,3.691195264032442e-36
char_ngram,hi,7,119,0.7815126050420168,0.7058823529411765,0.8571428571428571,0.7824971886104988,3.841309622596298e-42
char_ngram,ja,5,120,0.7916666666666666,0.725,0.8583333333333333,0.7746328876378137,6.681602339522729e-44
char_ngram,ru,4,120,0.7833333333333333,0.7083333333333334,0.8583333333333333,0.7827822143350094,9.799999586858091e-43
char_ngram,tr,6,120,0.7833333333333333,0.7083333333333334,0.85,0.7650750526069674,9.799999586858091e-43
char_ngram,zh,3,120,0.8666666666666667,0.8,0.925,0.8556807534149966,1.84228779631353e-55
word_ngram,en,1,120,0.7833333333333333,0.7083333333333334,0.8583333333333333,0.748362519201229,9.799999586858091e-43
word_ngram,es,2,120,0.7833333333333333,0.7083333333333334,0.85,0.7658823529411765,9.799999586858091e-43
word_ngram,hi,7,119,0.7310924369747899,0.6386554621848739,0.8151260504201681,0.7326917621385706,1.354943660146521e-35
word_ngram,ja,5,120,0.6833333333333333,0.6,0.775,0.6728905255501,3.0496183821595574e-30
word_ngram,ru,4,120,0.825,0.7583333333333333,0.8916666666666667,0.8191097168010693,8.654677284444161e-49
word_ngram,tr,6,120,0.8333333333333334,0.7666666666666667,0.9,0.8179596687159713,4.5294520340222595e-50
word_ngram,zh,3,120,0.5583333333333333,0.475,0.6416666666666667,0.5149522555841116,5.735944023654583e-18
