lang,system,accuracy,ci_lo_cluster,ci_hi_cluster,rank
en,features_logreg,0.7166666666666667,0.6083333333333333,0.8166666666666667,1
en,char_ngram,0.75,0.7083333333333334,0.7916666666666666,1
en,word_ngram,0.7833333333333333,0.725,0.8333333333333334,1
en,judge_claude,0.26666666666666666,0.225,0.30833333333333335,1
en,judge_deepseek,0.21666666666666667,0.15833333333333333,0.275,1
en,judge_gemini,0.23333333333333334,0.20833333333333334,0.25833333333333336,1
en,judge_gpt,0.23333333333333334,0.16666666666666666,0.2916666666666667,1
en,judge_grok,0.2,0.16666666666666666,0.23333333333333334,1
en,judge_mean_of_5,0.23,,,1
es,features_logreg,0.625,0.5333333333333333,0.7,2
es,char_ngram,0.7333333333333333,0.65,0.8002083333333322,2
es,word_ngram,0.7833333333333333,0.7083333333333334,0.8583333333333333,2
es,judge_claude,0.19166666666666668,0.16666666666666666,0.21666666666666667,2
es,judge_deepseek,0.21666666666666667,0.16666666666666666,0.26666666666666666,2
es,judge_gemini,0.21666666666666667,0.18333333333333332,0.25,2
es,judge_gpt,0.19166666666666668,0.16666666666666666,0.21666666666666667,2
es,judge_grok,0.21666666666666667,0.18333333333333332,0.25,2
es,judge_mean_of_5,0.20666666666666667,,,2
zh,features_logreg,0.65,0.55,0.7333333333333333,3
zh,char_ngram,0.8666666666666667,0.8083333333333333,0.925,3
zh,word_ngram,0.5583333333333333,0.4666666666666667,0.65,3
zh,judge_claude,0.23333333333333334,0.18333333333333332,0.2833333333333333,3
zh,judge_deepseek,0.16666666666666666,0.13333333333333333,0.2,3
zh,judge_gemini,0.2,0.14166666666666666,0.25833333333333336,3
zh,judge_gpt,0.21666666666666667,0.18333333333333332,0.25,3
zh,judge_grok,0.225,0.19166666666666668,0.26666666666666666,3
zh,judge_mean_of_5,0.20833333333333334,,,3
ru,features_logreg,0.65,0.5166666666666667,0.775,4
ru,char_ngram,0.7833333333333333,0.6583333333333333,0.8833333333333333,4
ru,word_ngram,0.825,0.7416666666666667,0.9083333333333333,4
ru,judge_claude,0.24166666666666667,0.2,0.275,4
ru,judge_deepseek,0.225,0.15833333333333333,0.3,4
ru,judge_gemini,0.25833333333333336,0.19166666666666668,0.31666666666666665,4
ru,judge_gpt,0.20833333333333334,0.16666666666666666,0.25,4
ru,judge_grok,0.25,0.21666666666666667,0.2916666666666667,4
ru,judge_mean_of_5,0.23666666666666666,,,4
ja,features_logreg,0.7083333333333334,0.6333333333333333,0.7833333333333333,5
ja,char_ngram,0.7916666666666666,0.7083333333333334,0.8666666666666667,5
ja,word_ngram,0.6833333333333333,0.6083333333333333,0.75,5
ja,judge_claude,0.225,0.175,0.275,5
ja,judge_deepseek,0.19166666666666668,0.14166666666666666,0.24166666666666667,5
ja,judge_gemini,0.175,0.11666666666666667,0.225,5
ja,judge_gpt,0.2,0.15,0.25,5
ja,judge_grok,0.2,0.2,0.2,5
ja,judge_mean_of_5,0.19833333333333333,,,5
tr,features_logreg,0.5916666666666667,0.5,0.6918749999999988,6
tr,char_ngram,0.7833333333333333,0.725,0.8416666666666667,6
tr,word_ngram,0.8333333333333334,0.7833333333333333,0.8833333333333333,6
tr,judge_claude,0.25833333333333336,0.20833333333333334,0.30833333333333335,6
tr,judge_deepseek,0.175,0.125,0.23333333333333334,6
tr,judge_gemini,0.19166666666666668,0.15,0.23333333333333334,6
tr,judge_gpt,0.2,0.16666666666666666,0.23333333333333334,6
tr,judge_grok,0.2,0.16666666666666666,0.23333333333333334,6
tr,judge_mean_of_5,0.205,,,6
hi,features_logreg,0.6386554621848739,0.5630252100840336,0.7142857142857143,7
hi,char_ngram,0.7815126050420168,0.725,0.8333333333333334,7
hi,word_ngram,0.7310924369747899,0.6409663865546219,0.8083333333333333,7
hi,judge_claude,0.36134453781512604,0.2916666666666667,0.4369747899159664,7
hi,judge_deepseek,0.226890756302521,0.15126050420168066,0.30514993481095143,7
hi,judge_gemini,0.21008403361344538,0.16806722689075632,0.25833333333333336,7
hi,judge_gpt,0.19327731092436976,0.175,0.2034332898739676,7
hi,judge_grok,0.24369747899159663,0.19166666666666668,0.3017241379310345,7
hi,judge_mean_of_5,0.24705882352941178,,,7
